Target,Method_Group,Model,Family,Input_Block,Benchmark_Source,Primary_Metric,Mean_Primary,Std_Primary
LOI,DescriptorProcess_TabICL,DescriptorProcess_TabICLRegressor,descriptor_tabicl,DescriptorProcess,from_scratch_descriptor_process,R2,0.849556886022742,0.01283993054337
LOI,DescriptorProcess_TabPFN,DescriptorProcess_TabPFNRegressor,descriptor_tabpfn,DescriptorProcess,from_scratch_descriptor_process,R2,0.8288289533055435,0.023129568881753
LOI,DescriptorProcess_Boosting,DescriptorProcess_LightGBMRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8163992841747805,0.0142775730842198
LOI,GraphDescriptor_Fusion,Graph_GCN_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7952884549859214,0.0263381062448136
LOI,DescriptorProcess_Bagging,DescriptorProcess_ExtraTreesRegressor,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,R2,0.768459103396021,0.0207838782800832
LOI,DescriptorProcess_OtherML,DescriptorProcess_RbfSVMRegressor,descriptor_kernel,DescriptorProcess,from_scratch_descriptor_process,R2,0.6321562319497056,0.0226233417807808
LOI,Plain_GNN,Graph_SAGE_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.1723012646253317,0.028622852160021
TENSILE,DescriptorProcess_TabICL,DescriptorProcess_TabICLRegressor,descriptor_tabicl,DescriptorProcess,from_scratch_descriptor_process,R2,0.721809327933441,0.0455623920178793
TENSILE,DescriptorProcess_TabPFN,DescriptorProcess_TabPFNRegressor,descriptor_tabpfn,DescriptorProcess,from_scratch_descriptor_process,R2,0.6955258353052102,0.0452863422502303
TENSILE,DescriptorProcess_Boosting,DescriptorProcess_CatBoostRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.6816639591669634,0.0472753687348401
TENSILE,DescriptorProcess_Bagging,DescriptorProcess_RandomForestRegressor,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,R2,0.6802531364146308,0.0427424772299204
TENSILE,GraphDescriptor_Fusion,Graph_GCN_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6407107504168118,0.0367578346008532
TENSILE,DescriptorProcess_OtherML,DescriptorProcess_RbfSVMRegressor,descriptor_kernel,DescriptorProcess,from_scratch_descriptor_process,R2,0.5242113658838029,0.0516685678058972
TENSILE,Plain_GNN,Graph_SAGE_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.3902386188701555,0.0592464299690483
Tg,DescriptorProcess_TabICL,DescriptorProcess_TabICLRegressor,descriptor_tabicl,DescriptorProcess,from_scratch_descriptor_process,R2,0.903343784513556,0.0104568163677741
Tg,DescriptorProcess_TabPFN,DescriptorProcess_TabPFNRegressor,descriptor_tabpfn,DescriptorProcess,from_scratch_descriptor_process,R2,0.891930743141954,0.0087676849109046
Tg,DescriptorProcess_Boosting,DescriptorProcess_LightGBMRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8815912459209138,0.0265540922835235
Tg,DescriptorProcess_Bagging,DescriptorProcess_RandomForestRegressor,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,R2,0.8762146737247747,0.0236818226463591
Tg,GraphDescriptor_Fusion,Graph_GINE_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8640764193663102,0.025085952293482
Tg,DescriptorProcess_OtherML,DescriptorProcess_MLPRegressor,descriptor_nn,DescriptorProcess,from_scratch_descriptor_process,R2,0.7219176189424752,0.1071992130640068
Tg,Plain_GNN,Graph_GINE_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6319643564744277,0.0778167368486525
UL94,DescriptorProcess_TabICL,DescriptorProcess_TabICLClassifier,descriptor_tabicl,DescriptorProcess,from_scratch_descriptor_process,AUC,0.9025997883363036,0.0100737950835192
UL94,DescriptorProcess_Boosting,DescriptorProcess_LightGBMClassifier,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,AUC,0.8768404541840834,0.0064543350798182
UL94,DescriptorProcess_TabPFN,DescriptorProcess_TabPFNClassifier,descriptor_tabpfn,DescriptorProcess,from_scratch_descriptor_process,AUC,0.8744256411236269,0.0082101459593282
UL94,DescriptorProcess_Bagging,DescriptorProcess_RandomForestClassifier,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,AUC,0.8489362386198673,0.0140375717755098
UL94,GraphDescriptor_Fusion,Graph_SAGE_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,AUC,0.8441922433747759,0.0117111752178322
UL94,DescriptorProcess_OtherML,DescriptorProcess_RbfSVMClassifier,descriptor_kernel,DescriptorProcess,from_scratch_descriptor_process,AUC,0.8257441553616175,0.0105853662835747
UL94,Plain_GNN,Graph_GCN_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,AUC,0.6201414238954227,0.021350114634068
