feature,importance
Flame_retardant_AdditionAmount(wt%),2.277284474578579
CURING_MaxaasC,0.3261631727681938
FR_F01[C-P],0.2902885967237481
FR_Eta_betaP_A,0.24129947908834257
EP_wt_fraction,0.1950284323128493
FR_MATS3p,0.17676835919241304
CURING_Eta_epsi_2,0.1517089867034511
FR_MCD,0.12605170261866486
FR_QED,0.12154254642321276
FR_P_VSA_charge_8,0.12030681989787471
T_max,0.0907373317495372
FR_MATS2p,0.09057576669639768
FR_SHED_AL,0.08925233625725706
FR_B01[C-P],0.08595624604483737
FR_SpMaxA_EA(dm),0.07665736197935777
FR_P_VSA_LogP_3,0.07261735618052348
Curing_agent_AdditionAmount(wt%),0.06805840982826176
Q_thermal,0.05491661593022822
FR_MATS2m,0.05288679796484179
FR_MaxaasC,0.05152276250294438
FR_SpPosA_X,0.05036505572733883
FR_IC1,0.04940053028056389
FR_TPSA_efficiency,0.04906828455701098
FR_CATS2D_06_AL,0.04748575992911111
FR_ChiA_X,0.04565772433668504
CURING_TDB06e,0.044611078909177544
CURING_Mor09p,0.04320988805836194
FR_stdP,0.039659365366589684
CURING_Mor26p,0.038902978410006124
CURING_Mor13p,0.035536571578751903
FR_CATS2D_07_LL,0.0353191536520692
FR_Eta_FL_A,0.03180761344603697
CURING_TDB05r,0.028202284494747976
FR_MATS4p,0.026393692233899434
CURING_Mor10u,0.02477230880377881
FR_Eta_D_beta,0.02451848632559727
FR_nLevel10,0.02432066140943483
CURING_SpPosA_B(e),0.022858941945799148
FR_GATS4p,0.021156127664075996
FR_IC3,0.019408966291286776
CURING_RBF,0.01940668099447384
CURING_nCp,0.01912463542750929
EEW,0.018792855522562105
CURING_minaasC,0.01731378917199541
CURING_SPAM,0.012844635410392848
FR_GATS6m,0.012576627909995664
FR_SpMax_B(p),0.011161419451091172
FR_MATS1m,0.009745657448075968
FR_GATS2i,0.00917760974828049
FR_MAXDP,0.007782988815832624
FR_MATS7i,0.007303457150851492
FR_MATS4i,0.006309350831768224
FR_GATS8i,0.006040551235259197
CURING_Mor27p,0.005945850816195701
FR_JGI5,0.005447339931935018
FR_AVS_X,0.004954568175418122
FR_GATS1m,0.004654970112339156
FR_MATS1i,0.00457929590729558
FR_PW5,0.0038650310035963377
FR_GATS7p,0.002800876639391185
FR_SHED_DP,0.002205418125431172
FR_SpDiam_EA(ri),0.0020992763703125516
FR_stdMW,0.0016532001391298646
FR_CATS2D_08_AA,0.0013762123158387355
FR_JGI3,0.0009063207364780251
FR_P_VSA_charge_2,0.0006268076988340933
FR_SpMin1_Bh(m),0.0005209182227899923
FR_SpDiam_AEA(ed),0.00022507077775367473
FR_MATS8m,0.0
FR_SpMax3_Bh(m),0.0
FR_GATS3m,0.0
